path,relative_path,class_name,label,patient_id,sha256,size_bytes,split
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1000).png,COVID/Covid (1000).png,COVID,1,,29b5e40f21a44e5007483ed7b149e8d17a83fbd1040525952701fa170fc6fe84,135210,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1005).png,COVID/Covid (1005).png,COVID,1,,b02b7f314d95ff5ab487b192534b26b45ae4f2e98bf1512da92b2d2a0b45c300,132965,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1019).png,COVID/Covid (1019).png,COVID,1,,af807e326bb2bfd54d68efb9565175d7faf9b153b0b224a7cd18a7ad07c5ed97,148158,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1024).png,COVID/Covid (1024).png,COVID,1,,0a84469a19492ed3c644acb384b5e3b30af31dde596fa861945ca02f5a5f7a53,127170,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1033).png,COVID/Covid (1033).png,COVID,1,,0c7267c82b1ce7e18a13ad6da595046d2682d5ed408e05c61f0080efe5cd7dc7,108644,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1044).png,COVID/Covid (1044).png,COVID,1,,80e9f10939f06a097d70084e805fa2efed87768611a4df1b718993a45865ae94,86131,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1045).png,COVID/Covid (1045).png,COVID,1,,9722c0bc6400bb2896205cc8e8bf12bb6827f52bc4e28079f189fd389446cce8,81975,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1046).png,COVID/Covid (1046).png,COVID,1,,9a98276c41c9f50be643f39dc9e4df55b84a686f0462126cf4d4590b0c5fa39a,79895,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1063).png,COVID/Covid (1063).png,COVID,1,,c2993962c3cde1dcaf4207482c95eae47953aa7e87816c59100fb52cedb9d8e7,116045,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1065).png,COVID/Covid (1065).png,COVID,1,,01513a773a1f609951390f36ac9607dfb0b0b5c9349c8b080b0668cef1914ed6,117610,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1068).png,COVID/Covid (1068).png,COVID,1,,d5cf4b21ec1416d29cdd7a95b9daf69279c8a0cb51de7f701e9f66806512d6fc,114234,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1069).png,COVID/Covid (1069).png,COVID,1,,22de2d96c7ad68f411370ef3a6fe7173bf2370245945e389a02314d9717b076e,97886,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (107).png,COVID/Covid (107).png,COVID,1,,f770cd7aa992f2575fce5817e6c6a3ba1268f9fb1d3a99be221f8d9bbbe769cf,112787,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1077).png,COVID/Covid (1077).png,COVID,1,,00d0ba3dc26f48ddd7785cb03ca643eb8ba46395ccd12518c12525925f70000c,108811,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1078).png,COVID/Covid (1078).png,COVID,1,,07e1c53b64602426865a4b6f0d0c1da1fde344abc82efe04b42dcd9ebe898927,106057,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (108).png,COVID/Covid (108).png,COVID,1,,274b3cd2c5e3e5debae4f5e48b9f7a96c403de3e0ae4de70e9f3cd21503275fc,122877,test
/kaggle/input/datasets/plameneduardo/sarscov2-ctscan-dataset/COVID/Covid (1093).png,COVID/Covid (1093).png,COVID,1,,36ff6662fe840ad964c24472e01e12450ddd8e0cae401392d7355a861d40abb2,81356,test
